id	school	subject	title	prompt	description	elements
es-komu-01	elementary	校務	学級通信を作成する	"あなたは小学校5年生の担任です。今週の学級通信を作成してください。内容は、今週の授業の様子、特に算数の授業で新しい単元「割合」に入り、児童たちが意欲的に学んでいることを中心に書いてください。形式は、児童や保護者が読みやすいように、適度に改行や絵文字を入れてください。語調は、児童たちを褒めることを中心に、親しみやすく、かつ成長を促すような文章にしてください。600字程度で作成してください。"	学級通信の作成時間を短縮し、より魅力的な通信を作成できます。	人物,内容,形式や語調,制約
es-komu-02	elementary	校務	運動会のお知らせを作成する	"あなたは小学校の教員として、保護者向けの運動会のお知らせを作成します。お知らせは、保護者に親しみやすく、かつ丁寧な言葉遣いで作成してください。子どもたちの頑張りが伝わるような、活気のある表現を心がけ、箇条書きや表などを活用して読みやすくしてください。A4用紙1枚に収まるように作成し、運動会のテーマやスローガン、学校の連絡先を明記してください。"	保護者向け文書のたたき台を瞬時に作成できます。	人物,内容,形式や語調,制約
es-komu-03	elementary	校務	保護者面談の記録を作成する	"あなたは小学校の教員です。A君の保護者と面談を行いました。以下の面談内容を、今後の指導に活かせるように記録としてまとめてください。・家庭での様子：毎日元気に過ごしているが、ゲームの時間が長くなりがち。・学校での様子：友達と仲良く遊んでいるが、授業中の集中力が課題。・保護者からの要望：宿題への声かけを強めてほしい。客観的な事実と、教員の所感を分けて記述してください。"	面談記録を構造化し、後の振り返りや情報共有を容易にします。	人物,内容,形式や語調
es-kokugo-01	elementary	国語	「地域の魅力を伝えよう」のルーブリック作成	"私は、公立小学校で教員です。担当している小学5年生の生徒たちに書くことの指導をするために、ルーブリックを作成したいと思っています。単元名は「地域の魅力を伝えよう」です。小学5年生でもわかるような表現でルーブリックを表形式で作成してください。評価内容は、「小学校学習指導要領(平成29年告示)」における、該当学年の「書くこと」の指導事項を踏まえて作成してください。"	評価基準を明確にし、児童の自己評価を促します。	人物,内容,形式や語調,制約
es-kokugo-02	elementary	国語	新出漢字の練習プリントを作成する	"あなたは小学校3年生の担任です。新出漢字「駅」「橋」「銀」を使った短文作成の練習プリントを作成してください。児童が楽しく取り組めるように、クイズ形式や穴埋め形式の問題を3問ずつ、合計9問作成してください。解答もつけてください。"	児童が飽きないような多様な形式の漢字練習プリントを作成できます。	人物,内容,制約
es-kokugo-03	elementary	国語	物語の続きを創作するアイデア出し	"小学校4年生の国語の授業で、物語「ごんぎつね」の続きを創作する活動を行います。児童の創作意欲を刺激するような、続きの物語のアイデアを3つの異なるパターンで提案してください。それぞれのパターンで、ごんが助かっていた場合の展開と、兵十がごんの優しさを知った後の展開を含めてください。"	物語の続きを考える授業で、児童の発想を広げるためのヒントを提供します。	人物,内容,形式や語調
es-sansu-01	elementary	算数	図形の面積の文章問題を作成	"あなたは小学校5年生の担任です。算数の「図形の面積」の単元で、児童が楽しく取り組めるような文章問題を作成してください。身近なもの（例：教室の机、校庭の遊具など）を題材にして、創造性を刺激するような問題にしてください。問題は3問作成し、それぞれ解答と簡単な解説もつけてください。"	児童の興味を引くようなオリジナルの文章問題を作成できます。	人物,内容,制約
es-sansu-02	elementary	算数	計算練習ゲームのアイデアを考える	"あなたは小学校の教員です。低学年の児童が、足し算と引き算の計算に親しめるような、教室でできる簡単なゲームのアイデアを3つ提案してください。体を使ったり、グループで競ったりするような、遊びの要素を取り入れた動きを5つ提案してください。"	計算が苦手な子も楽しめる、アクティブな学習活動のアイデアを得られます。	人物,内容
es-sansu-03	elementary	算数	わり算のつまずきポイントを解説する	"あなたは算数専門の教員です。小学校4年生で学習する「あまりのあるわり算」について、児童が特につまずきやすいポイントを3つ挙げ、それぞれをどのように指導すればよいか、具体的な発問例を交えて解説してください。"	児童のつまずきを予測し、効果的な指導法を事前に準備できます。	人物,内容,形式や語調
es-rika-01	elementary	理科	天体の授業計画を作成する	"私は小学校6年生の教員です。理科の天体の授業計画を作成してください。授業時間は45分です。授業計画には、児童の興味を引くような身近な例を用いた問題、ペアワーク、全体活動、日常生活や他の学習との関連づけ、が含まれるようにしてください。具体的な発問や指示、児童の反応を想定した時間配分、使用する教材などを詳細に記述してください。"	児童の主体的な学びを促す授業案を作成できます。	人物,内容,制約
es-rika-02	elementary	理科	自由研究のテーマを提案する	"あなたは小学校の理科担当教員です。小学5年生が夏休みに行う自由研究のテーマで、家で簡単にできて、かつ科学的な探究心が育つようなテーマを5つ提案してください。「準備物」「方法」「まとめ方のヒント」をそれぞれ簡潔に示してください。"	自由研究のテーマ探しに悩む児童や保護者への具体的なヒントを提供できます。	人物,内容,制約
es-rika-03	elementary	理科	植物の観察日記のフォーマット作成	"あなたは小学校3年生の担任です。理科の授業でアサガオを育てて観察します。児童が観察したことを記録するための「かんさつにっき」のフォーマットを作成してください。「日付」「天気」「せのたかさ」「はっぱのかず」「きがついたこと」などの項目を設け、低学年の児童でも書きやすいように、イラストを描くスペースも確保してください。"	観察の視点を明確にし、児童が記録を取りやすくするためのワークシートを作成できます。	人物,内容,形式や語調
es-shakai-01	elementary	社会	歴史上の人物紹介カード作成	"私は小学校6年生の担任です。社会科の歴史の授業で、児童が「織田信長」について調べるためのワークシートを作成してください。調べる項目として、「いつの時代の人か」「主な出来事」「性格がわかるエピソード」「現代に残る影響」などを入れてください。児童がまとめやすいように、イラストを描くスペースも設けてください。"	調べ学習用のワークシートを簡単に作成できます。	人物,内容,形式や語調
es-shakai-02	elementary	社会	都道府県クイズを作成する	"あなたは社会科の教員です。小学4年生が日本の都道府県について楽しく学べるような3択クイズを10問作成してください。各都道府県の特産品、有名な場所、形などをヒントにした問題にしてください。解答と簡単な解説もつけてください。"	授業の導入やまとめで使える、楽しいクイズを簡単に作成できます。	人物,内容,制約
es-shakai-03	elementary	社会	スーパーマーケットの工夫を調べる	"あなたは小学校3年生の担任です。社会科の「スーパーマーケットではたらく人びと」の学習で、児童がお店の工夫を見つけるためのワークシートを作成してください。「品物の並べ方」「お客さんを呼び込むための工夫」「働いている人の工夫」という観点で、気づいたことをメモできるような表形式にしてください。"	見学学習で児童が目的意識を持って観察するための視点を提供します。	人物,内容,形式や語調
es-seikatsu-01	elementary	生活	町探検の計画を立てる	"あなたは小学校2年生の担任です。生活科の「町たんけん」の授業計画を立てています。学校の周りにあるお店（パン屋、八百屋など）を探検する計画案を作成してください。安全に探検するための注意点、インタビューするときの質問例、探検後のまとめ方（絵地図づくりなど）を盛り込んでください。"	体験学習の計画を具体的に立てられます。	人物,内容
es-seikatsu-02	elementary	生活	生き物観察の視点を教える	"あなたは小学校1年生の担任です。生活科で、学校の校庭にいる虫や草花などの生き物を観察する活動をします。児童が生き物を「見つける」だけでなく、「面白さ」を発見できるように、どのような視点で観察すればよいか、やさしい言葉で教えてください。例：「どこにいるかな？」「どんな形かな？」「どんな色かな？」"	低学年の児童に、科学的な観察の第一歩となる「視点」を分かりやすく教えることができます。	人物,内容,形式や語調,例
es-seikatsu-03	elementary	生活	昔の遊びを体験する授業計画	"あなたは小学校の教員です。生活科で、地域の老人会の方々をゲストティーチャーとしてお招きし、「昔の遊び（けん玉、お手玉、あやとりなど）」を教えてもらう交流会を計画しています。会の流れ（始めの挨拶、遊びの時間、お礼の言葉など）と、児童への事前指導の内容を具体的に作成してください。"	世代間交流を目的とした活動の計画をスムーズに立てることができます。	人物,内容
es-ongaku-01	elementary	音楽	「魔王」の鑑賞授業の導入部分を作成	"私は小学校6年生の音楽担当です。シューベルト作曲の「魔王」の鑑賞授業を行います。児童が曲の世界に入り込めるように、物語の背景や登場人物（語り手、父、子、魔王）について、わくわくするような語り口で説明する導入部分のシナリオを作成してください。時間は5分程度でお願いします。"	鑑賞授業で児童の興味を引きつけるための導入シナリオを作成します。	人物,内容,形式や語調,制約
es-ongaku-02	elementary	音楽	リズム遊びのアイデア	"あなたは小学校低学年の音楽担当です。身近な物の名前（例：りんご、みかん、ばなな）を使って、リズム打ち遊びをするアイデアを3つ提案してください。手拍子だけでなく、足踏みや楽器（タンバリン、すずなど）を使った活動も取り入れてください。"	児童が言葉とリズムを結びつけながら、楽しく音楽の基礎を学べるアクティビティです。	人物,内容,例
es-ongaku-03	elementary	音楽	日本の民謡について解説する	"あなたは音楽の専門家として、小学校5年生に日本の民謡「ソーラン節」の魅力を解説します。「ソーラン節」がどのような場面で歌われてきた歌なのか、その歌詞やリズムにはどのような意味が込められているのかを、小学生にも分かりやすく説明してください。"	伝統音楽の背景知識を分かりやすく解説し、児童の文化理解を深める手助けをします。	人物,内容,形式や語調
jhs-komu-01	junior-high	校務	生徒との教育相談（面談）の記録を作成する	"あなたは中学校の学級担任です。生徒との定期教育相談を行いました。以下の内容を客観的な事実と、教員の所見に分けて記録としてまとめてください。# 相談内容・生徒の氏名：[生徒氏名]・相談日：[相談日]・生徒の話した内容： - 最近、部活動の練習が厳しく、勉強との両立に悩んでいる。 - 特に数学の授業についていけなくなりつつあると感じている。 - 将来は漠然とスポーツに関わる仕事がしたいと思っているが、具体的な進路は決まっていない。# 指導・助言 - 部活動の顧問と連携し、練習時間の調整が可能か相談することを提案。 - 数学の放課後補習への参加を促した。# 形式・公式な記録文書として、簡潔かつ明確に記述する。・「生徒の状況」「課題」「今後の対応」の3つの項目で構成する。"	生徒一人ひとりとの面談内容を構造化して記録し、継続的な指導や学年での情報共有に役立てます。	人物,内容,形式や語調
jhs-komu-02	junior-high	校務	保護者会資料の作成	"あなたは中学校2学年の学年主任です。来週開催される保護者会で使用する資料のたたき台を作成してください。内容は以下の通りです。1. 最近の生徒たちの学校での様子（学習面・生活面）2. 今後の主な行事予定（職場体験、合唱コンクール）3. 家庭での学習習慣の確立に向けたお願い4. その他（欠席連絡のデジタル化について）保護者に伝わりやすいように、丁寧な言葉遣いで、各項目を箇条書きでまとめてください。"	保護者会資料の構成案を素早く作成し、準備の時間を短縮します。	人物,内容,形式や語調
jhs-komu-03	junior-high	校務	校務分掌の改善案を提案する	"あなたは中学校の教務主任です。現在の校務分掌において、特定の教員に業務が偏っているという課題があります。業務内容を平準化し、全教員で協力して学校運営に取り組むための改善案を3つ提案してください。「タスクの可視化」「ICTツールの活用」「定期的な見直し会議の設置」などの観点から、具体的な提案をお願いします。"	教員の働き方改革に繋がり、より効率的な学校運営を目指すための具体的な改善策を立案します。	人物,内容,制約
jhs-kokugo-01	junior-high	国語	古典作品の面白さを現代語で語る	"あなたは国語の先生です。中学2年生の生徒に、古典作品『枕草子』の面白さを伝えるための導入トークを作成してください。「春はあけぼの」の一節を引用し、清少納言がどのような視点で日常を切り取っていたのか、その感性の鋭さを、現代の高校生の日常（例：スマホで綺麗な写真を撮る感覚）にたとえながら、親しみやすい口調で説明してください。"	古典への苦手意識をなくし、生徒が作品の世界に興味を持つきっかけを作ります。	人物,内容,形式や語調,例
jhs-sugaku-01	junior-high	数学	1次関数のレベル別確認テスト作成	"私は、中学校で数学科の教員です。1次関数のグラフについて授業を行うときの、確認テストの問題、解答、解説を作成してください。中学1年生でも親しみやすい表現で作成してください。時間としては10分ほどです。難易度を3段階に分けてそれぞれ5問ずつ作成してください。例：1次関数 y=-3x+6 のグラフとx軸、y軸との交点をそれぞれ求めなさい。"	生徒の習熟度に合わせたレベル別の問題を作成できます。	人物,内容,形式や語調,制約,例
jhs-rika-01	junior-high	理科	化学反応式の練習問題を作成する	"あなたは中学校の理科教員です。中学2年生で学習する「化学反応式」の練習問題を作成してください。難易度を「基本」「標準」「応用」の3段階に分け、各レベル3問ずつ、合計9問作成してください。解答も必ずつけてください。例：（基本）水素と酸素が反応して水ができる化学反応式を書きなさい。"	生徒の習熟度に応じた多様な練習問題を提供し、化学反応式の定着を図ります。	人物,内容,制約,例
jhs-shakai-01	junior-high	社会	歴史上の出来事についてディベートのテーマを作成	"あなたは中学校の社会科教員です。歴史の授業で「織田信長の政策は、民衆にとって良かったのか？」というテーマでディベートを行います。肯定側（良かった）と否定側（良くなかった）のそれぞれの立場から主張できる論点を、3つずつ箇条書きで示してください。"	歴史的な出来事を多角的に捉え、生徒の批判的思考力を養うディベート活動の準備ができます。	人物,内容
jhs-eigo-01	junior-high	英語	英語で自己紹介スピーチの原稿作成	"あなたは中学校の英語教員です。中学1年生が、ALTの先生に向けて1分程度の自己紹介スピーチをするための、穴埋め形式の原稿テンプレートを作成してください。「My name is __.」「I like __.」「I want to be a __.」など、基本的な構文を使い、生徒が自分の言葉で埋められるようにしてください。3つのレベル（基本、標準、挑戦）で文例を提示してください。"	英語での発表が初めての生徒でも、安心して取り組めるスピーチ原稿のひな形を作成します。	人物,内容,形式や語調,制約
hs-komu-01	high	校務	大学入試改革に関する保護者向け説明会資料	"あなたは高校の進路指導主事です。新しい大学入試制度について、高校1年生の保護者向けの説明会資料の骨子を作成してください。「これまでの入試との違い」「『学力の3要素』とは何か」「家庭でサポートできること」の3部構成で、専門用語を避け、分かりやすく説明する内容にしてください。"	複雑な入試制度について、保護者の不安を解消し、理解を促すための説明会資料を効率的に作成できます。	人物,内容,形式や語調
hs-kokugo-01	high	国語	小論文のテーマに対するブレインストーミング	"あなたは小論文指導の専門家です。「AIの進化は、人間の仕事を奪うか」という小論文のテーマについて、肯定・否定の両方の立場から、論点をブレインストーミングしてください。それぞれの立場で、主張の根拠となる具体例（社会、経済、文化の側面から）を3つ以上挙げてください。"	小論文作成の初期段階で、多角的な視点からアイデアを広げ、論の骨子を固める手助けをします。	人物,内容
hs-sugaku-01	high	数学	数学的探究活動のテーマ提案	"あなたは高校の数学科教員です。「数学II」の範囲で、生徒が主体的に取り組める数学的探究活動のテーマを3つ提案してください。「身の回りの現象（例：感染症の拡大モデル）を指数関数で表現する」「フラクタル図形の性質を調べる」「暗号理論と整数の性質」など、生徒の知的好奇心を刺激するテーマを、探究の進め方の例と共に示してください。"	生徒の探究心を引き出し、数学の有用性や面白さを実感させるような探究活動のテーマを見つけます。	人物,内容,例
hs-eigo-01	high	英語	年間指導計画を作成する	"あなたは高校の先生です。学習指導要領に沿って、英語の年間指導計画を作ってください。生徒のアウトプット活動と、グループ活動を多く取り入れ、楽しく学力を身につけられるような工夫をしてください。"	学習指導要領に沿った計画を効率的に作成できます。	人物,内容
hs-tankyu-01	high	探究	探究活動のテーマ設定のためのワークシート	"あなたは高校の探究活動担当教員です。生徒が自分の興味・関心から探究テーマを見つけられるようにするためのワークシートを作成してください。「好きなこと」「気になる社会問題」「なぜ？と思った経験」の3つの切り口からアイデアを書き出し、それらを組み合わせて仮のテーマを設定するという流れで、生徒の思考を促す構成にしてください。"	探究活動の第一歩であるテーマ設定で、生徒が主体的に課題を発見できるようサポートします。	人物,内容
